trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999804688135782}",25,-71,-490.22900337730516,"{0: 57, 1: 13, 2: 15, 3: 4, 4: 7}",0
2,False,"{'a': 0.5, 'e': 0.9999218760172474}",30,-100,-604.7590077859527,"{0: 81, 1: 15, 2: 22, 3: 3, 4: 9}",0
3,False,"{'a': 0.5, 'e': 0.999824223899781}",25,-7,-140.24883326384233,"{0: 21, 1: 2, 2: 4, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9996875162757026}",20,-34,-316.6990403367287,"{0: 34, 1: 5, 2: 8, 3: 1, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.9995117584851364}",25,-30,-198.0146372572957,"{0: 36, 1: 7, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9992969573935987}",30,-22,-280.6434522107234,"{0: 32, 1: 7, 2: 7, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.9990431213917298}",20,14,13.579321292113265,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9987502603949663}",25,-100,-484.55937839432534,"{0: 82, 1: 16, 2: 16, 3: 4, 4: 7}",0
9,False,"{'a': 0.5, 'e': 0.9984183858431536}",25,-17,-263.41609884256826,"{0: 23, 1: 4, 2: 10, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9980475107000991}",30,8,-32.16922305379815,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9976376494530662}",25,-73,-490.56028931236074,"{0: 52, 1: 16, 2: 22, 3: 3, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,-100,-578.6595252487245,"{0: 71, 1: 16, 2: 21, 3: 5, 4: 7}",0
13,False,"{'a': 0.5, 'e': 0.9967010342099402}",30,-100,-660.8146979472415,"{0: 73, 1: 17, 2: 26, 3: 7, 4: 7}",0
14,False,"{'a': 0.5, 'e': 0.996174316800261}",20,-100,-402.04571006285545,"{0: 68, 1: 21, 2: 28, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9956086864580017}",25,-35,-316.20669796598645,"{0: 33, 1: 13, 2: 6, 3: 4, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.9950041652780258}",35,-100,-854.2932830088512,"{0: 63, 1: 25, 2: 31, 3: 6, 4: 10}",0
17,False,"{'a': 0.5, 'e': 0.9943607768743647}",25,3,-95.17704985275427,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9936785463792964}",20,6,-35.024426958457724,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9929575004423629}",20,-100,-526.9417113565177,"{0: 72, 1: 11, 2: 26, 3: 6, 4: 5}",0
20,False,"{'a': 0.5, 'e': 0.992197667229329}",20,-100,-607.7929630948004,"{0: 63, 1: 21, 2: 23, 3: 8, 4: 5}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,-43,-371.35972261478224,"{0: 42, 1: 10, 2: 14, 3: 2, 4: 5}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,-100,-579.3463618475969,"{0: 74, 1: 13, 2: 20, 3: 5, 4: 8}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,-100,-770.5838520194745,"{0: 65, 1: 17, 2: 20, 3: 7, 4: 11}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,-100,-498.01711207013705,"{0: 76, 1: 17, 2: 29, 3: 5, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,-59,-557.250691300762,"{0: 40, 1: 15, 2: 18, 3: 4, 4: 7}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,-20,-109.27522562374898,"{0: 26, 1: 1, 2: 12, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,3,-94.71950360962589,"{0: 8, 1: 5, 2: 2, 3: 1, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,-100,-585.6410006706903,"{0: 76, 1: 18, 2: 18, 3: 5, 4: 8}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,13,-15.024737848839429,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,-100,-547.2220417091326,"{0: 73, 1: 12, 2: 21, 3: 9, 4: 5}",0
